case,description,objective_mode,purchase_strategy,risk_window_days,risk_radius_periods,purchase_quantile,reserve_quantile,reserve_mode,eta_charge,eta_discharge,round_trip_efficiency,formal_days,formal_total_grid_kwh,formal_plan_cost_yuan,formal_emergency_cost_yuan,formal_total_cost_yuan,formal_total_emergency_kwh,formal_average_reserve_kwh,formal_max_reserve_kwh,formal_reserve_cap_days,total_solver_seconds,lexicographic_tolerance_relaxed_days,tolerance_relaxed_occurred,cost_difference_vs_main_yuan,emergency_difference_vs_main_kwh
no_reserve_eta_090,不设日末安全储备，充放电效率均为0.90,lexicographic,calibrated_quantile,28,3,0.8,0.0,positive_steps,0.9,0.9,0.81,334,22706416.269157905,13961909.86914147,1519563.479348266,15481473.348489735,379434.0128754847,0.0,0.0,0,70.35432479999145,0,False,-16886.985499111935,63.52248801785754
q075_eta_090,安全储备取75%分位数，充放电效率均为0.90,lexicographic,calibrated_quantile,28,3,0.8,0.75,positive_steps,0.9,0.9,0.81,334,22719341.437859252,13946230.330919402,1519146.2231079047,15465376.554027306,379417.8371616542,5511.229670267314,9600.0,37,100.17158509995352,0,False,-32983.779961541295,47.346774187346455
q090_eta_090,主模型：安全储备取90%分位数，充放电效率均为0.90,lexicographic,calibrated_quantile,28,3,0.8,0.9,positive_steps,0.9,0.9,0.81,334,22780207.299298223,13978890.454280527,1519469.8797083192,15498360.333988847,379370.49038746685,9434.001164281472,9600.0,266,60.07011200004854,0,False,0.0,0.0
q090_eta_sqrt090,安全储备取90%分位数，往返效率为0.90,lexicographic,calibrated_quantile,28,3,0.8,0.9,positive_steps,0.9486832980505138,0.9486832980505138,0.8999999999999999,334,22155985.019202735,13473286.424678385,1515703.413539795,14988989.83821818,378343.8582957684,9326.856288126613,9600.0,245,72.02824029998374,0,False,-509370.49577066675,-1026.6320916984696
q090_eta090_cumulative_net,安全储备按累计净误差计算，90%分位数，效率均为0.90,lexicographic,calibrated_quantile,28,3,0.8,0.9,cumulative_net,0.9,0.9,0.81,334,22775397.589656416,13975775.371262807,1519737.820812046,15495513.192074852,379488.7422991416,9126.757960670422,9600.0,242,62.32820489999722,0,False,-2847.1419139951468,118.25191167474259
