case,description,objective_mode,purchase_strategy,risk_window_days,risk_radius_periods,purchase_quantile,forecast_method,load_window_days,load_trend_degree,pv_window_days,risk_grouping,reserve_quantile,reserve_mode,eta_charge,eta_discharge,round_trip_efficiency,formal_days,formal_total_grid_kwh,formal_plan_cost_yuan,formal_emergency_cost_yuan,formal_total_cost_yuan,formal_total_emergency_kwh,formal_average_reserve_kwh,formal_max_reserve_kwh,formal_reserve_cap_days,total_solver_seconds,lexicographic_tolerance_relaxed_days,tolerance_relaxed_occurred,cost_difference_vs_main_yuan,emergency_difference_vs_main_kwh
no_reserve_eta_090,不设日末安全储备，充放电效率均为0.90,lexicographic,calibrated_quantile,28,3,0.85,calendar_trend,28,2,14,all,0.0,positive_steps,0.9,0.9,0.81,334,22681434.20014625,13934150.151353503,844034.8691912682,14778185.02054477,217458.6838660597,0.0,0.0,0,54.85092600000644,0,False,-21662.31019792892,-671.9681642985088
q075_eta_090,安全储备取75%分位数，充放电效率均为0.90,lexicographic,calibrated_quantile,28,3,0.85,calendar_trend,28,2,14,all,0.75,positive_steps,0.9,0.9,0.81,334,22699262.576012794,13920707.107833922,845675.7488207424,14766382.856654665,218019.06949416985,5282.995365467253,9600.0,21,75.96537069999249,0,False,-33464.47408803366,-111.5825361883617
q090_eta_090,主模型：安全储备取90%分位数，充放电效率均为0.90,lexicographic,calibrated_quantile,28,3,0.85,calendar_trend,28,2,14,all,0.9,positive_steps,0.9,0.9,0.81,334,22769356.059936434,13953839.32722054,846008.0035221571,14799847.330742698,218130.6520303582,9164.55034054026,9600.0,178,63.48802859997886,0,False,0.0,0.0
q090_eta_sqrt090,安全储备取90%分位数，往返效率为0.90,lexicographic,calibrated_quantile,28,3,0.85,calendar_trend,28,2,14,all,0.9,positive_steps,0.9486832980505138,0.9486832980505138,0.8999999999999999,334,22143296.591404334,13447095.11247316,840147.1863237947,14287242.298796955,216459.0053710077,8924.376002685754,9600.0,135,85.50633530002597,0,False,-512605.03194574267,-1671.6466593505174
q090_eta090_cumulative_net,安全储备按累计净误差计算，90%分位数，效率均为0.90,lexicographic,calibrated_quantile,28,3,0.85,calendar_trend,28,2,14,all,0.9,cumulative_net,0.9,0.9,0.81,334,22760879.3278502,13948982.05376467,846132.9589982388,14795115.012762908,218169.2169350406,8597.494298832195,9600.0,161,81.41825170006996,0,False,-4732.31797979027,38.564904682396445
